MDATETIME,AREA_INDEX,SO2_RFLAG,SO2,PM10_RFLAG,PM10,O3_RFLAG,O3,NO2_RFLAG,NO2,CO_RFLAG,CO,NOX_RFLAG,NOX,NO_RFLAG,NO,PM25_RFLAG,PM25,Unnamed: 18,SO2_CODE,NO2_CODE,O3_CODE,CO_CODE,PM10_CODE,PM25_CODE,NO_CODE,NOX_CODE,SO2_ai_CODE,CO_ai_CODE,O3_ai_CODE,NO2_ai_CODE
2021-01-01 01:00:00,111242,,0.003,,22.0,,0.016,,0.024,,0.4,,0.041,,0.017,,12.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 02:00:00,111242,,0.003,,19.0,,0.012,,0.03,,0.4,,0.051,,0.021,,9.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 03:00:00,111242,,0.003,,20.0,,0.011,,0.031,,0.4,,0.049,,0.018,,12.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 04:00:00,111242,,0.003,,20.0,,0.015,,0.026,,0.4,,0.033,,0.007,,11.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 05:00:00,111242,,0.003,,20.0,,0.007,,0.037,,0.5,,0.058,,0.021,,13.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 06:00:00,111242,,0.003,,22.0,,0.008,,0.035,,0.4,,0.061,,0.026,,11.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 07:00:00,111242,,0.003,,19.0,,0.007,,0.035,,0.4,,0.068,,0.033,,11.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 08:00:00,111242,,0.003,,20.0,,0.004,,0.039,,0.5,,0.072,,0.033,,11.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 09:00:00,111242,,0.003,,25.0,,0.006,,0.04,,0.5,,0.077,,0.037,,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 10:00:00,111242,,0.003,,24.0,,0.009,,0.039,,0.5,,0.083,,0.044,,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 11:00:00,111242,,0.003,,30.0,,0.012,,0.032,,0.5,,0.082,,0.05,,19.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 12:00:00,111242,,0.003,,33.0,,0.015,,0.032,,0.4,,0.078,,0.046,,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 13:00:00,111242,,0.003,,35.0,,0.014,,0.036,,0.5,,0.076,,0.04,,17.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 14:00:00,111242,,0.003,,29.0,,0.02,,0.026,,0.4,,0.052,,0.026,,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 15:00:00,111242,,0.003,,28.0,,0.018,,0.027,,0.4,,0.058,,0.031,,15.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 16:00:00,111242,,0.004,,29.0,,0.016,,0.033,,0.4,,0.063,,0.03,,13.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 17:00:00,111242,,0.004,,30.0,,0.015,,0.037,,0.5,,0.069,,0.032,,13.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 18:00:00,111242,,0.003,,28.0,,0.009,,0.045,,0.6,,0.09,,0.045,,15.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 19:00:00,111242,,0.003,,28.0,,0.009,,0.045,,0.6,,0.08,,0.035,,15.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 20:00:00,111242,,0.003,,31.0,,0.009,,0.039,,0.6,,0.073,,0.034,,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 21:00:00,111242,,0.003,,32.0,,0.005,,0.044,,0.7,,0.086,,0.042,,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 22:00:00,111242,,0.004,,33.0,,0.004,,0.047,,0.7,,0.091,,0.044,,22.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
