,AREA_INDEX,MDATETIME,SO2_RFLAG,SO2,PM10_RFLAG,PM10,O3_RFLAG,O3,NO2_RFLAG,NO2,CO_RFLAG,CO,NOX_RFLAG,NOX,NO_RFLAG,NO,PM25_RFLAG,PM25,SO2_CODE,NO2_CODE,O3_CODE,CO_CODE,PM10_CODE,PM25_CODE,NO_CODE,NOX_CODE
2021-01-01 01:00:00,437181,2021-01-01 01:00:00,,0.003,,33.0,,0.024,,0.011,,0.4,,0.013,,0.002,,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 02:00:00,437181,2021-01-01 02:00:00,,0.003,,40.0,,0.025,,0.01,,0.4,,0.012,,0.002,,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 03:00:00,437181,2021-01-01 03:00:00,,0.003,,33.0,,0.025,,0.009,,0.4,,0.011,,0.002,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 04:00:00,437181,2021-01-01 04:00:00,,0.003,,32.0,,0.026,,0.008,,0.4,,0.01,,0.002,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 05:00:00,437181,2021-01-01 05:00:00,,0.003,,33.0,,0.028,,0.007,,0.4,,0.009,,0.002,,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 06:00:00,437181,2021-01-01 06:00:00,,0.003,,31.0,,0.029,,0.007,,0.3,,0.009,,0.002,,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 07:00:00,437181,2021-01-01 07:00:00,,0.003,,25.0,,0.029,,0.007,,0.3,,0.009,,0.002,,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 08:00:00,437181,2021-01-01 08:00:00,,0.003,,25.0,,0.028,,0.008,,0.3,,0.011,,0.003,,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 09:00:00,437181,2021-01-01 09:00:00,,0.003,,29.0,,0.027,,0.008,,0.4,,0.011,,0.003,,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 10:00:00,437181,2021-01-01 10:00:00,,0.003,,31.0,,0.028,,0.008,,0.3,,0.011,,0.003,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 11:00:00,437181,2021-01-01 11:00:00,,0.003,,29.0,,0.033,,0.006,,0.3,,0.009,,0.003,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 12:00:00,437181,2021-01-01 12:00:00,,0.003,,24.0,,0.036,,0.006,,0.3,,0.009,,0.003,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 13:00:00,437181,2021-01-01 13:00:00,,0.003,,26.0,,0.038,,0.005,,0.3,,0.008,,0.003,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 14:00:00,437181,2021-01-01 14:00:00,,0.003,,26.0,,0.039,,0.006,,0.3,,0.009,,0.003,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 15:00:00,437181,2021-01-01 15:00:00,,0.003,,17.0,,0.036,,0.007,,0.3,,0.01,,0.003,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 16:00:00,437181,2021-01-01 16:00:00,,0.003,,23.0,,0.035,,0.007,,0.3,,0.01,,0.003,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 17:00:00,437181,2021-01-01 17:00:00,,0.003,,22.0,,0.033,,0.008,,0.3,,0.011,,0.003,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 18:00:00,437181,2021-01-01 18:00:00,,0.003,,22.0,,0.031,,0.01,,0.3,,0.013,,0.003,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 19:00:00,437181,2021-01-01 19:00:00,,0.003,,23.0,,0.026,,0.013,,0.4,,0.017,,0.004,D004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 20:00:00,437181,2021-01-01 20:00:00,,0.003,,29.0,,0.022,,0.014,,0.4,,0.018,,0.004,,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 21:00:00,437181,2021-01-01 21:00:00,,0.003,,32.0,,0.024,,0.011,,0.4,,0.014,,0.003,,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 22:00:00,437181,2021-01-01 22:00:00,,0.003,,31.0,,0.022,,0.011,,0.4,,0.013,,0.002,,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 23:00:00,437181,2021-01-01 23:00:00,,0.003,,31.0,,0.026,,0.009,,0.4,,0.012,,0.003,,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 00:00:00,437181,2021-01-02 00:00:00,,0.003,,30.0,,0.026,,0.008,,0.5,,0.01,,0.002,,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 01:00:00,437181,2021-01-02 01:00:00,,0.003,,32.0,,0.024,,0.008,,0.5,,0.01,,0.002,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 02:00:00,437181,2021-01-02 02:00:00,,0.003,,35.0,,0.027,,0.006,,0.4,,0.008,,0.002,,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 03:00:00,437181,2021-01-02 03:00:00,,0.003,,33.0,,0.026,,0.007,,0.4,,0.01,,0.003,,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 04:00:00,437181,2021-01-02 04:00:00,,0.003,,34.0,,0.025,,0.007,,0.4,,0.01,,0.003,,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 05:00:00,437181,2021-01-02 05:00:00,,0.004,,31.0,,0.022,,0.009,,0.5,,0.012,,0.003,,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 06:00:00,437181,2021-01-02 06:00:00,,0.003,,38.0,,0.022,,0.009,,0.4,,0.012,,0.003,,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 07:00:00,437181,2021-01-02 07:00:00,,0.003,,37.0,,0.024,,0.009,,0.4,,0.012,,0.003,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 08:00:00,437181,2021-01-02 08:00:00,,0.003,,35.0,,0.024,,0.009,,0.4,,0.012,,0.003,,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 09:00:00,437181,2021-01-02 09:00:00,,0.003,,44.0,,0.024,,0.009,,0.4,,0.013,,0.004,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 10:00:00,437181,2021-01-02 10:00:00,,0.003,,45.0,,0.03,,0.008,,0.4,,0.012,,0.004,,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 11:00:00,437181,2021-01-02 11:00:00,,0.003,,47.0,,0.034,,0.007,,0.3,,0.011,,0.004,,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 12:00:00,437181,2021-01-02 12:00:00,,0.003,,45.0,,0.036,,0.008,,0.3,,0.012,,0.004,,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 13:00:00,437181,2021-01-02 13:00:00,,0.003,,36.0,,0.04,,0.006,,0.3,,0.009,,0.003,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 14:00:00,437181,2021-01-02 14:00:00,,0.004,,41.0,,0.043,,0.005,,0.3,,0.008,,0.003,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 15:00:00,437181,2021-01-02 15:00:00,,0.004,,45.0,,0.041,,0.007,,0.3,,0.01,,0.003,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 16:00:00,437181,2021-01-02 16:00:00,,0.004,,41.0,,0.039,,0.008,,0.3,,0.011,,0.003,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 17:00:00,437181,2021-01-02 17:00:00,,0.004,,41.0,,0.039,,0.009,,0.3,,0.012,,0.003,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 18:00:00,437181,2021-01-02 18:00:00,,0.004,,45.0,,0.036,,0.011,,0.3,,0.014,,0.003,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 19:00:00,437181,2021-01-02 19:00:00,,0.004,,48.0,,0.036,,0.01,,0.4,,0.013,,0.003,,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 20:00:00,437181,2021-01-02 20:00:00,,0.004,,46.0,,0.036,,0.009,,0.4,,0.011,,0.002,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 21:00:00,437181,2021-01-02 21:00:00,,0.004,,50.0,,0.037,,0.008,,0.4,,0.01,,0.002,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
