AREA_INDEX,MDATETIME,SO2_RFLAG,SO2,PM10_RFLAG,PM10,O3_RFLAG,O3,NO2_RFLAG,NO2,CO_RFLAG,CO,NOX_RFLAG,NOX,NO_RFLAG,NO,PM25_RFLAG,PM25,SO2_CODE,NO2_CODE,O3_CODE,CO_CODE,PM10_CODE,PM25_CODE,NO_CODE,NOX_CODE
633362,2021-01-01 01:00:00,,0.003,,31.0,,0.007,,0.019,,0.6,,0.022,,0.003,,25.0,0,0,0,0,0,0,0,0
633362,2021-01-01 02:00:00,,0.003,,34.0,,0.007,,0.018,,0.6,,0.021,,0.003,,29.0,0,0,0,0,0,0,0,0
633362,2021-01-01 03:00:00,,0.003,,28.0,,0.006,,0.017,,0.6,,0.02,,0.003,,23.0,0,0,0,0,0,0,0,0
633362,2021-01-01 04:00:00,,0.003,,32.0,,0.005,,0.017,,0.6,,0.021,,0.004,,24.0,0,0,0,0,0,0,0,0
633362,2021-01-01 05:00:00,,0.003,,32.0,,0.004,,0.018,,0.6,,0.022,,0.004,,25.0,0,0,0,0,0,0,0,0
633362,2021-01-01 06:00:00,,0.003,,31.0,,0.004,,0.016,,0.6,,0.021,,0.005,,26.0,0,0,0,0,0,0,0,0
633362,2021-01-01 07:00:00,,0.003,,33.0,,0.004,,0.016,,0.6,,0.021,,0.005,,22.0,0,0,0,0,0,0,0,0
633362,2021-01-01 08:00:00,,0.003,,32.0,,0.003,,0.017,,0.6,,0.023,,0.006,,23.0,0,0,0,0,0,0,0,0
633362,2021-01-01 09:00:00,,0.003,,34.0,,0.006,,0.016,,0.6,,0.026,,0.01,,34.0,0,0,0,0,0,0,0,0
633362,2021-01-01 10:00:00,,0.003,,30.0,,0.01,,0.018,,0.7,,0.03,,0.012,,27.0,0,0,0,0,0,0,0,0
633362,2021-01-01 11:00:00,,0.003,,35.0,,0.015,,0.017,,0.6,,0.027,,0.01,,30.0,0,0,0,0,0,0,0,0
633362,2021-01-01 12:00:00,,0.003,,34.0,,0.023,,0.014,,0.5,,0.018,,0.004,,26.0,0,0,0,0,0,0,0,0
633362,2021-01-01 13:00:00,,0.003,,23.0,,0.032,,0.009,,0.4,,0.011,,0.002,,13.0,0,0,0,0,0,0,0,0
633362,2021-01-01 14:00:00,,0.003,,13.0,,0.033,,0.007,,0.4,,0.009,,0.002,,11.0,0,0,0,0,0,0,0,0
633362,2021-01-01 15:00:00,,0.003,,16.0,,0.033,,0.007,,0.4,,0.008,,0.001,,9.0,0,0,0,0,0,0,0,0
633362,2021-01-01 16:00:00,,0.003,,19.0,,0.032,,0.008,,0.4,,0.009,,0.001,,12.0,0,0,0,0,0,0,0,0
633362,2021-01-01 17:00:00,,0.003,,18.0,,0.03,,0.011,,0.4,,0.013,,0.002,,11.0,0,0,0,0,0,0,0,0
633362,2021-01-01 18:00:00,,0.003,,20.0,,0.026,,0.013,,0.4,,0.015,,0.002,,18.0,0,0,0,0,0,0,0,0
633362,2021-01-01 19:00:00,,0.003,,23.0,,0.023,,0.015,,0.5,,0.017,,0.002,,17.0,0,0,0,0,0,0,0,0
633362,2021-01-01 20:00:00,,0.003,,29.0,,0.022,,0.015,,0.5,,0.017,,0.002,,19.0,0,0,0,0,0,0,0,0
633362,2021-01-01 21:00:00,,0.003,,32.0,,0.02,,0.014,,0.5,,0.016,,0.002,,24.0,0,0,0,0,0,0,0,0
633362,2021-01-01 22:00:00,,0.003,,34.0,,0.014,,0.017,,0.5,,0.02,,0.003,,25.0,0,0,0,0,0,0,0,0
633362,2021-01-01 23:00:00,,0.003,,33.0,,0.016,,0.017,,0.5,,0.019,,0.002,,30.0,0,0,0,0,0,0,0,0
633362,2021-01-02 00:00:00,,0.003,,36.0,,0.012,,0.015,,0.5,,0.018,,0.003,,31.0,0,0,0,0,0,0,0,0
633362,2021-01-02 01:00:00,,0.003,,39.0,,0.007,,0.018,,0.6,,0.025,,0.007,,28.0,0,0,0,0,0,0,0,0
